z,y,p_miss,y_obs
0.5205890729185231,0.4714705919458665,0.6763526974436308,0.4714705919458665
-1.07969076235228,-0.5163363881527525,0.10494550659918075,-0.5163363881527525
0.1392381150192734,0.1478927851287094,0.5126544488249776,NA
-0.08474878494857653,-0.7110825724681087,0.41276471974141316,-0.7110825724681087
-0.6666396152845961,-0.8955367380180819,0.1978238383175344,-0.8955367380180819
-2.5160890320094564,-1.0265242443006664,0.008758268050430165,-1.0265242443006664
-0.735146797456677,-0.6929976990396782,0.17898134698812757,NA
-1.020122263135093,-0.43280318145463514,0.11545218864808286,-0.43280318145463514
0.1135544412973069,-0.3378619275051479,0.5010994968115506,NA
-0.4737909818400949,-1.4568096698273227,0.25868322876205063,-1.4568096698273227
-0.4082147043379282,0.6020621031377991,0.28195465372563455,0.6020621031377991
-0.7304332785936144,-0.5172454569624312,0.18023149204949737,-0.5172454569624312
-0.22143659940617358,-0.34458158110878534,0.3546672889876732,-0.34458158110878534
-0.22581652442895142,0.20127466520102652,0.3528649170103671,0.20127466520102652
-2.5468814461282956,0.16001642707315944,0.008289951935745684,0.16001642707315944
1.3470014992970316,0.8353221975128047,0.9024371884361857,NA
0.6164081458499691,1.5056132640415683,0.7129049308753344,1.5056132640415683
0.21756433830788768,0.8162075588367992,0.5477579158175913,NA
-0.8047188304002632,-0.8890686690580949,0.16131260791632365,-0.8890686690580949
0.6897467776258196,0.924862218840474,0.7391478505493904,NA
-0.32867201409023966,-0.06623037566690432,0.31182315617560225,NA
-0.16468157692584026,0.5735472175047966,0.3783807417171729,0.5735472175047966
-1.392028879771304,-0.3036079128644753,0.0626406680818201,-0.3036079128644753
1.4658247612013915,0.5713193912395391,0.9197152610010999,NA
0.048206808225443785,-1.1662870762773503,0.4717232674548799,NA
1.908083834641989,1.4920881313035463,0.9621139856493176,NA
1.7309445272373212,1.2387300627646747,0.9486171166439252,NA
0.058145837259296236,-0.4135735231462155,0.4761836633963048,NA
0.6453281617751712,0.8574188693788756,0.7234401749404554,NA
1.7256289865063028,0.8487095418032726,0.9481487410952285,NA
-0.5289669174562458,0.9448507047633203,0.24009833805373657,0.9448507047633203
0.16639202561255087,0.2199887307647686,0.5248559059417117,0.2199887307647686
-0.25472357476394647,-0.47169011685381224,0.34107609903843283,-0.47169011685381224
0.33278235943790935,1.2317995298439925,0.5984493574902073,NA
0.18243281282763463,-1.6878139540386405,0.532050758322584,NA
1.1645937495180019,0.5624948054931145,0.8694686385360162,NA
0.5934928507278675,1.0342359448589868,0.7043891607015095,1.0342359448589868
-0.8917797292173691,-0.5048567451206408,0.14121882443602402,-0.5048567451206408
