Normal,Uniform,Binomial,Poisson
-0.512139087720818,0.849688119487837,3,7
2.4851836778265803,0.9398737954907119,1,2
1.007826150228311,0.9416898731142282,7,2
0.2928145723171667,0.117285440210253,6,2
-0.20895936113428987,0.2282799941021949,4,3
1.8580923898093598,0.07126067788340151,6,3
-0.06602640509754745,0.7762275461573154,8,2
-0.1627649516876705,0.7864968080539256,6,4
-0.1998606799056228,0.12143038306385279,7,1
0.3005617339845097,0.2873514674138278,5,3
-0.7639072825257971,0.8922792919911444,3,5
0.08196190380792638,0.4174314921256155,3,4
0.7430282750827665,0.49998550047166646,5,4
-0.08402219387517199,0.15365254669450223,6,3
-0.7928945165594916,0.986314827343449,4,2
-0.9221536312698835,0.1413251042831689,4,0
0.861562378528325,0.2269746116362512,6,1
2.0029421876462097,0.8290393257047981,4,2
0.936551012616,0.30562290106900036,7,2
-1.6157348716241966,0.8015116583555937,3,4
-0.5750565891799501,0.9375272004399449,5,3
-0.003973088902847066,0.3728448092006147,8,2
-0.6761126032343953,0.8652350667398423,4,2
-1.0496282752834882,0.0622140325140208,5,2
-0.5432805676648259,0.5195234711281955,6,4
0.5561445303961421,0.7422002723906189,3,2
0.2528377170030835,0.964918588520959,5,1
-0.9018146747258408,0.45789972273632884,4,5
0.8243913562017463,0.49714818387292325,3,2
-1.5602797523162872,0.03489346685819328,5,1
0.5379940033974754,0.4377492677886039,3,3
-1.2683538867923614,0.32188902446068823,6,2
0.640519827799291,0.7146889665164053,5,0
-0.5357618182287782,0.29394678911194205,5,5
-1.0196428169351015,0.4966363008134067,3,3
-0.8078815063934653,0.5355843231081963,3,3
0.056825224515014525,0.08601230080239475,8,1
0.9502114035482275,0.5321835225913674,3,1
-1.1267634994752675,0.7763089863583446,4,3
-0.20116829467253092,0.30988779035396874,5,1
-0.22849585319564403,0.5095822920557112,6,1
0.5587162603140199,0.19525441038422287,4,3
0.7487454334739466,0.3101062357891351,8,4
1.9182043692968997,0.5984030610416085,4,4
1.0072078118212986,0.4005222872365266,6,5
3.253349399980117,0.2998532385099679,7,3
-0.16174801383085988,0.9227341634687036,6,5
0.33375554562313214,0.8095210129395127,3,5
-1.1786729755400156,0.4852491153869778,5,2
