value,group
2.287247161340524,1
-1.1967716822223495,1
-0.694292510435459,1
-0.41229295113680253,1
-0.9706733411194832,1
-0.9472799452281075,1
0.7481393402905512,1
-0.11695522588715161,1
0.15265762628223362,1
2.1899781073293796,1
0.3569862303290225,1
2.7167517831307246,1
2.281451925989557,1
0.32402054013851594,1
1.896067066809931,1
1.2676805113216978,2
-0.09380072308544374,2
0.4926717004628054,2
0.7951775777324296,2
1.7881641494999445,2
1.6397503596240712,2
1.5053418309055004,2
2.105964720811688,2
-0.5879962165928503,2
2.072916864255237,2
0.9841927712357674,2
1.5522798957400332,2
1.3917450524627268,2
-0.18305259577102095,2
0.5239360448879941,2
