studied,score
0,65.40033723308376
1,86.66017768476047
1,83.06927579815309
1,75.60377757625042
1,69.43339448116885
1,69.46804528637797
1,76.03063025198337
0,71.70742044041572
0,74.31601528800982
0,72.59449586455665
1,75.88845139278773
0,71.78632857063509
0,68.43140582866252
1,85.85213838743304
1,78.09522158647782
1,75.41295379312007
0,72.29467922609969
1,78.24675057272405
1,77.64465599173238
1,70.22145609412185
0,57.178141738777384
0,64.63831188503751
1,81.67639724959646
1,81.49782739207204
1,77.96470792366871
1,66.80730764892607
0,80.97990595905947
1,72.05330460169952
1,69.29739225550402
0,69.91105143217696
1,81.21983432336256
0,65.13337740538141
1,76.09005121091676
1,84.66885602871314
1,77.14953171390705
0,68.76772628101183
1,73.91522522311618
0,69.74204954744093
1,71.03068435399022
1,73.3638469730995
0,64.48756520901811
1,78.53491905024109
0,65.45476521614323
0,80.48848706913357
1,79.02276421358151
0,74.95318676680716
0,69.89706451144048
0,72.95332998665235
1,80.1329338223029
1,78.67546020942729
