x,happy,pet,mess,sad,passed
-1.8479610156708088,-1.9905198217478102,cat,tidy,4.199794349076132,0
-1.7502378430063787,-2.9149680332212293,cat,tidy,3.877893684511416,1
-1.7255196029671018,-0.7147270677445325,cat,tidy,4.198819278279277,0
-1.699374291490579,-0.40773012232083183,cat,tidy,1.3584549872832765,1
-1.5723176826305378,-1.7563869113671238,cat,messy,0.9578049560151014,0
-1.55040721766793,-0.5713836679274883,cat,tidy,4.084602048358358,0
-1.4124608317951532,-0.800163484455564,cat,messy,1.7738703852488584,0
-1.3288569144334446,-2.223397688173838,cat,messy,2.727558799250084,1
-1.1898826331357057,-1.1272839235314935,cat,messy,3.3317483901189346,1
-0.9749739133731469,0.04445074285777484,cat,tidy,0.5942966001204586,0
-0.9157704891966042,-0.07326814714028707,cat,tidy,4.905823807173212,1
-0.9013278057059411,-2.269984208700044,cat,messy,1.3880776648136295,0
-0.8661562447969525,-0.8297280602270901,cat,messy,1.3516051869223933,0
-0.8627661628969046,-1.4085975846374252,cat,tidy,1.8808418538613332,0
-0.8342548325300306,-2.7484516801595817,cat,tidy,2.21667016685807,0
-0.8165241496264782,-0.8639855299927606,cat,tidy,1.9700217263001556,0
-0.8141227084855573,-1.8418141901739296,cat,messy,3.024576839535602,0
-0.7203259707019797,0.02403759079377532,fish,messy,-0.19966294407006702,1
-0.6563238376835624,0.8545206331794898,fish,tidy,1.774005413406654,0
-0.629781281079014,-0.1765325032575345,fish,tidy,3.2497746609309277,0
-0.5994457091838498,-0.9145903806143165,fish,tidy,3.600507934240235,0
-0.592626358314288,-0.9986802164824626,fish,tidy,3.0076738338662987,0
-0.5593825067988287,0.7720152150234347,fish,tidy,3.5412541147478906,1
-0.4590599472207647,1.2232805065685324,fish,messy,1.5485022924581737,0
-0.4544320560023096,0.3434717425752203,fish,messy,2.0537815512693336,0
-0.3887386841477209,0.9134555511047149,fish,tidy,2.7656767898127965,0
-0.36745611359077274,-0.8059990182834861,fish,tidy,2.7227312490151174,0
-0.34094425038949483,0.3907383675896081,fish,tidy,1.565278522779789,0
-0.3260726039744937,-0.21992757915149336,fish,tidy,4.44845453554397,0
-0.32561230991701307,1.0001400978267907,fish,tidy,3.345881098942983,0
-0.3214646276013121,-2.51496236395243,fish,tidy,1.6484548553318854,1
-0.3144412318604914,0.6430053422709998,fish,messy,1.0688826486357015,1
-0.30153634988579325,-1.1801216818874898,fish,messy,1.4909531865913668,0
-0.2243628989484955,-0.780667420147798,fish,tidy,2.6116472272411384,0
-0.2183534613196842,-0.8985758180634107,fish,tidy,1.5694333642282805,0
-0.18780535769897283,0.1796877984093464,fish,messy,1.718385908636249,1
-0.1826309904806946,-2.5444695924770695,fish,tidy,3.0047564509696016,1
-0.16376957484625768,0.7754047521712583,fish,tidy,2.5969143834460375,0
-0.1556408066820638,0.3399474058560956,fish,tidy,3.7570779814278787,1
-0.153362112063031,-0.6872355021127375,fish,messy,2.541065502755054,0
-0.1533452102326105,-1.6444295105013953,fish,tidy,3.0469253592625023,0
-0.1456250688756738,0.2173858628212567,fish,messy,0.30354381007019215,0
-0.11426603048813054,-1.7380517902116421,fish,tidy,0.6060914745882493,0
-0.11402567746005568,-0.44021550169165236,fish,messy,-1.1332292808095452,0
-0.07892818499231702,0.8782947316397286,fish,messy,1.2447137403603812,1
-0.06987918297328519,-0.3162300765382543,fish,tidy,2.6119802400307535,1
-0.03073282900044618,1.522678033770004,fish,tidy,2.9220321751526463,1
0.009250893447479567,1.8916178865659998,fish,tidy,2.1203577220053256,0
0.011821502342924277,-0.6637778413754235,fish,tidy,1.6998696493272096,1
0.05652637706549116,0.12915818655406008,fish,messy,-0.6146478774802302,1
0.06173568173257159,-0.8183470711099031,fish,tidy,1.0754239204605036,1
0.07377544104513645,0.7185963561024771,fish,tidy,2.2327595970138385,1
0.07623548788831305,-1.1891446096278186,fish,tidy,1.8108705900358455,0
0.08162894857404786,-1.5268457659688066,fish,messy,0.6294713903131335,1
0.12171229224419475,0.05786095164374691,fish,tidy,1.9217266693367159,1
0.1528138765449856,-0.6868780313261832,fish,tidy,0.7018512650192539,1
0.16026822037872782,1.2319368276550424,fish,messy,-0.7018982694640077,1
0.16453954382085442,0.4918496608826105,fish,messy,1.0131797887307683,1
0.17177587552721446,-0.3591981290072223,fish,tidy,2.046102025997099,0
0.18467052231854159,1.281280470070631,fish,tidy,1.8335962150061413,0
0.21839658635779863,-1.2132577685483545,fish,messy,3.5419557358014817,0
0.29917928790036624,1.380096595383531,fish,tidy,1.972145026520652,0
0.33223020704170525,-0.6959424917381755,fish,messy,0.5386897432864259,0
0.33657007904133823,-0.7584758115130315,fish,tidy,2.6917578843754892,0
0.3660451534591286,1.6558749114072064,pig,tidy,3.2812199984329418,0
0.37373581498365016,1.0412742382780413,pig,messy,3.9650540745363707,1
0.37431750456087215,-0.1162673961619935,pig,messy,0.41691882917453554,0
0.39199226053408626,1.6126187574992876,pig,messy,0.5801515662349599,0
0.39875240203717516,0.48893788270073774,pig,messy,0.5821999894147591,1
0.43691674551375725,0.4736578063064791,pig,tidy,2.4032106928559167,1
0.4657162950887442,0.9544505367363338,pig,messy,1.0480846605446148,1
0.5166314368888489,0.8139066813875953,pig,tidy,0.10441296525216726,1
0.5818989121147692,1.54527364452932,pig,tidy,0.9531836269850249,0
0.5888331332805371,-0.369492576778922,pig,tidy,1.1207812916761986,1
0.591039545239172,0.3948936408124888,pig,messy,0.9442773585780162,0
0.6123169361970434,1.233869038090933,pig,tidy,-1.2741389614263303,0
0.6274402705732011,-0.16914370314787996,pig,tidy,0.9774666543229984,0
0.6591839438246615,0.279937538451604,pig,messy,0.01001661773264112,1
0.6712235850390378,1.1159681181604841,pig,tidy,2.1715741582265586,0
0.7334037579150238,0.28318279644173794,pig,messy,1.243407216996368,0
0.744735769546744,0.3684410304080381,pig,messy,0.06396881408101057,1
0.7760641849892155,-0.5281884005399696,pig,tidy,2.3423322025163853,0
0.7825695404022504,2.052478288766286,pig,tidy,1.185424217686639,1
0.9150288542138547,0.3520706849765878,pig,tidy,1.5052769467697107,1
0.9175148657333384,-0.31219521717832677,pig,messy,0.5748453547121101,1
0.9386351352686488,1.0658989975747228,pig,tidy,2.5099256475195535,1
0.945127879081438,1.2191431341609582,pig,tidy,1.4061844388154743,1
0.9667419251058128,0.031409661817172085,pig,messy,-0.2597147803340152,1
1.003634633084711,1.6302086925592487,pig,messy,1.0800944301540822,0
1.0795376829688421,2.313937465509743,pig,messy,-0.03982413219066376,1
1.1142090135233425,-0.17907460468608916,pig,messy,-0.7330592377043762,1
1.1628072644131144,0.9963752878606279,pig,messy,-0.5181063652326114,0
1.3708000169813142,0.8747487330062178,pig,messy,-1.426976551264524,1
1.5691405843136608,0.8592670472511584,dog,messy,-0.4544601233827037,1
1.6575212717177634,1.8073276466214643,dog,messy,-1.8556705720550715,1
1.8301121152273054,1.971729081081611,dog,tidy,-0.9034862470170166,1
1.895906584476218,-0.10939128361530437,dog,messy,-0.2464053113493483,1
2.246977966051223,4.139630328587874,dog,tidy,-0.376931316938703,0
2.341796968484,-0.4122424725434164,dog,tidy,0.4901117378153763,1
2.563634722807291,2.219772048734498,dog,messy,-0.28394835297909693,1
