dose,growth
none,6.954973850618151
none,9.761089788610699
none,9.301038934127122
none,7.548196198971939
none,12.316272517600611
none,9.503164194037604
none,12.918623278313094
none,15.14960193770122
none,10.765711013487003
none,11.099743360991932
none,13.542367708757412
none,11.929576206894906
none,13.885965602402216
none,10.563754220292019
none,14.773615293761152
none,9.834462829275955
none,12.515413361919352
none,10.478110375340238
none,11.877863204635833
none,11.900754175136845
none,12.043082945945558
none,7.9538999023793675
none,7.830229789590401
none,15.020577894646191
none,8.212733102635507
none,13.479531532487341
none,10.352267233840548
none,10.777664160765724
none,11.147086311542024
none,7.865554794132163
low,8.467291291915533
low,9.119500471261091
low,9.363143287171816
low,1.331590557720606
low,7.7497504716776255
low,10.653692202023803
low,9.672096883184258
low,9.504515843752335
low,12.155490349179615
low,10.150346065723703
low,12.763190252777829
low,11.00543861569265
low,11.381042056581565
low,15.64601125910205
low,17.676169256506427
low,12.222580563406991
low,17.2550885083175
low,11.30553768972889
low,13.630357454283828
low,9.032995796478613
low,12.94659439154032
low,19.32698239266933
low,13.649078584564322
low,11.912269898036865
low,9.507649866957847
low,15.739303158484748
low,7.872734126431006
low,11.006674657437577
low,14.942734458323038
low,18.57231169242343
high,15.091637240250533
high,12.643447782750037
high,15.97632166834632
high,12.357469350171332
high,15.62797782920709
high,15.453098857302633
high,13.969563616560748
high,17.717632788484728
high,17.75686456144424
high,13.332037523883406
high,16.68070452391196
high,9.622746612581167
high,10.30374940473714
high,5.03904335777896
high,15.464164713903182
high,13.90612001874701
high,7.698948438863551
high,16.009392916230325
high,13.07864154022684
high,20.4633612515932
high,9.459829637088314
high,16.92515050962824
high,18.556574607812948
high,14.466935910473152
high,11.141622227596775
high,16.390351932279824
high,17.641998820832185
high,15.418265864119379
high,13.87483551645965
high,15.127617100835465
