item1,item2,item3,item4
3.476631642632686,5.3695307790354185,4.772013473121446,4.2917661533315705
5.368492508868824,3.4878784208430575,4.545572293292015,8.072061578755234
5.752216718798776,3.6309992450427564,3.8966584835664415,5.337196740392605
5.464905127891506,5.223011350994711,6.955160367023503,7.144924022634931
5.249256015264371,3.1215879930107184,4.016641677874651,6.108612281819974
4.311951900263079,6.001654134635541,3.295562006213278,3.614400365077031
6.195383781700219,4.834035641609706,7.564523847013131,5.590383338224445
5.498626680957377,5.453643485774149,3.6390990729282398,6.019846218313478
7.5602552883064185,5.188831748008561,4.337275386325209,5.1013501779302795
4.555824600723978,5.081306587489716,5.685044702507679,4.236607405846742
6.929431919243403,8.112172019990371,7.6004430316489255,7.013324341037494
6.371596013875093,7.070998192178248,6.229695490599691,4.984713860407262
3.986064063954384,3.195153031230939,4.435618058141584,4.201373829234594
1.7456311358735868,1.4268428592593012,3.10917816400277,2.4657555438083705
7.907159878451683,4.612260123422105,5.220262250552155,6.968381310447207
2.6439973063796027,3.701961491615571,4.3028825426146495,5.438723040233717
5.862414317822319,6.943166814046658,4.721355098940105,4.680139589212936
5.9796429287005255,5.9514820828180675,5.009173369779597,5.658740114295045
6.834049887225171,4.978605997508455,6.6423824077322635,6.801657872559053
6.026166475757126,4.99274121606516,3.969642147757572,5.422581852257692
8.009796576857365,6.993436778021064,4.888573702127926,7.261990513165308
4.582210481087196,6.042734135823226,4.5202069887580665,5.683777865632866
6.664203183655261,4.760293003193271,5.4667496092616705,4.752569503571328
4.965299946359881,2.2610182086535495,1.879210042482909,1.0959138030185018
5.6247635247228525,4.757627418208903,6.163970231902872,4.97278435474225
2.492164872624873,6.991911563519479,6.1204801952055705,3.544434413602496
5.321441795908287,5.7841245709080455,4.869433062533708,6.775378762608477
2.9326894474693224,5.537934732016076,4.04438078579276,3.990819908748768
5.314053215191029,4.1004763724860265,3.8677401848739583,5.0492886914462805
5.70757827037705,5.067107137051844,5.921583551027269,5.381250287272605
7.097618155291169,5.331298953442287,5.086560329200648,3.6385115238723196
5.216172673754653,4.6466931459367125,4.820441118958347,4.850086756786258
6.463835965371374,5.859531077676313,4.042352235879955,5.392408083154467
4.662037238928848,6.30513478041521,4.679877399170908,3.7208912161460788
2.8462651691916356,4.187109045855032,4.710503438190863,3.8738656585999816
3.9893449380085437,5.040985527181541,5.285573232115527,6.19020537357274
2.879730267143618,5.836663709310566,4.16295053164925,4.570190168905199
4.038102123525126,6.087823451015935,4.1521666374009545,5.970104693732889
5.540963457083418,6.2066234129113,5.243249662209445,5.6999824534317325
5.516663181124029,4.979859091448922,5.016756733834152,5.830418963783542
4.451890175314969,6.076676230823788,5.133460024147827,6.871284259027544
2.7875351446963634,4.8854967389670065,3.727086122645107,5.39615712584477
4.855258315269129,7.40759496364131,8.567860798976975,6.976314905538443
7.460210666021301,5.126022223950665,5.77537321007821,4.928463861472767
4.933738235571218,3.2670147245234213,3.3446899757493553,5.66157632880838
6.2834252786181946,4.830084367618409,4.676343024660249,5.965094819353283
5.059098237295376,4.694995974986601,5.2426858908185094,6.537311519581953
5.677688689314657,6.407338535953725,5.417985352315185,5.774711861106887
4.703492336298511,3.1636639533572057,5.487117408980435,6.193166007677506
4.682339961146803,4.138677646113309,6.112381804019898,5.7881208941999995
4.559818732765024,6.087910053650061,6.4243520771815765,4.269356064004237
6.454274962480467,4.718936783922696,3.8635247567095226,4.975319992016904
4.778872638081931,6.21218740037248,7.137325933570928,5.430283572947513
5.146352415770128,1.8543913217057724,2.436440498167463,3.6376724786650745
5.385451074706056,7.645602805211399,6.5717098721635745,7.920799580998727
5.014521657058535,8.1808945973278,7.431863625551402,6.626306637505461
4.309807429773518,5.664846849468927,5.847552648133829,5.051426948500831
4.891727900492103,4.742275629860686,2.6313842489542574,1.858429833765705
6.708949430176496,7.679793141221687,4.430091851443374,4.199239446552362
6.5365641634451705,3.411135549305887,6.540593966503251,4.180482539495708
5.613375553739923,6.818513912374128,7.799763968903989,7.083497917998221
6.99200251602208,5.370483979817136,5.676279132308812,4.645269742666714
4.9865950294568915,4.882757727036539,4.896544226925163,6.574061685968681
5.186166921340788,5.113552599635173,6.951853805944513,3.142580853103781
4.762961588598315,5.002969959757336,4.32716677743165,4.988906119345723
4.3687971938981445,4.535119238183258,5.658072335827594,5.979336963470528
1.1961943761448388,3.8521473544109215,3.1051892770382694,3.3898945350106047
5.986262270111245,7.015464096572595,7.359706493106387,7.386732854293435
5.2374332425341406,4.346523979779226,4.779543460220477,6.394709545735315
6.277125059698844,6.175231953085918,9.430863573573355,6.491440868250115
4.554233863391925,6.4514001673259225,7.048611309114669,5.990839992598237
4.6205030725434995,4.120630388377469,2.335731837914047,3.8218424840170893
5.469065544552973,6.332918132926524,4.991403919689063,5.108669031454326
4.500750129858448,3.221483761443246,4.035954639737206,2.091910493713507
3.692643973743714,5.023660284762046,2.024708177854172,3.1769207053199153
4.384335859923974,3.9483356863372405,4.2379894361374335,5.76677678839372
5.860220359203833,5.322048795642264,3.9860456433806437,5.773925815559279
5.772895127171485,5.4653079216119975,5.4838197463109495,5.118794919524356
6.126866919459308,5.342334602192193,5.1702652165623215,5.162708038564974
3.000440713148219,5.07800174094717,3.8226392628633157,4.209861973296041
