group,value
tight (sd=3),106.86174148402156
wide (sd=20),95.87968499186816
tight (sd=3),96.40968495333296
wide (sd=20),88.24312787588876
tight (sd=3),97.91712246869362
wide (sd=20),86.290941088448207
tight (sd=3),98.7631211465896
wide (sd=20),120.09648364983605
tight (sd=3),97.08797997664155
wide (sd=20),84.54701814050497
tight (sd=3),97.15816016431567
wide (sd=20),60.12532597837251
tight (sd=3),102.24441802087165
wide (sd=20),81.81491030846689
tight (sd=3),99.64913432233854
wide (sd=20),88.73687838799604
tight (sd=3),100.4579728788467
wide (sd=20),75.64288765830523
tight (sd=3),106.56993432198814
wide (sd=20),63.5936429424913
tight (sd=3),101.07095869098707
wide (sd=20),92.00741307826738
tight (sd=3),108.15025534939217
wide (sd=20),142.3673669640193
tight (sd=3),106.84435577796867
wide (sd=20),128.30315091823056
tight (sd=3),100.97206162041554
wide (sd=20),111.29530231547378
tight (sd=3),105.68820120042979
wide (sd=20),78.37405671600936
tight (sd=3),101.4030415339651
wide (sd=20),81.16047812985862
tight (sd=3),97.31859783074367
wide (sd=20),95.11633113536486
tight (sd=3),99.07801510138842
wide (sd=20),121.7097710764553
tight (sd=3),99.98553273319729
wide (sd=20),111.16687654286272
tight (sd=3),102.96449244849984
wide (sd=20),56.475432988840055
tight (sd=3),102.51925107887222
wide (sd=20),117.54602462628779
tight (sd=3),102.1160254927165
wide (sd=20),116.85070671536366
tight (sd=3),103.91789416243506
wide (sd=20),98.96832023739157
tight (sd=3),95.83601135022145
wide (sd=20),86.1975719430899
tight (sd=3),103.81875059276571
wide (sd=20),63.220343094319674
tight (sd=3),100.5525783137073
wide (sd=20),105.66075834061738
tight (sd=3),102.2568396872201
wide (sd=20),54.94819834691274
tight (sd=3),101.77523515738818
wide (sd=20),114.68700373880382
tight (sd=3),97.05084221268693
wide (sd=20),102.91611481299556
tight (sd=3),99.17180813466398
wide (sd=20),87.01142838151816
tight (sd=3),97.38744693229422
wide (sd=20),88.77551279720834
tight (sd=3),102.15613165925274
wide (sd=20),106.69584098298064
tight (sd=3),100.331958633308
wide (sd=20),100.64036854024819
tight (sd=3),99.76459969608489
wide (sd=20),124.73834378889046
tight (sd=3),98.73852862197401
wide (sd=20),101.12826847633059
tight (sd=3),98.3136223711442
wide (sd=20),97.09134583200739
tight (sd=3),102.99254033426591
wide (sd=20),88.15300748126083
tight (sd=3),96.68460982356021
wide (sd=20),74.7857403908958
tight (sd=3),99.57313650767624
wide (sd=20),86.32788431451087
tight (sd=3),100.94498471466375
wide (sd=20),96.7312560906476
tight (sd=3),103.65565160352205
wide (sd=20),91.23052983472863
tight (sd=3),97.90204876394345
wide (sd=20),88.42593970026692
tight (sd=3),99.14370174541382
wide (sd=20),131.6218086366299
tight (sd=3),96.06534198217184
wide (sd=20),130.8132262088182
tight (sd=3),98.82696270565222
wide (sd=20),114.05962008876745
tight (sd=3),98.79542016071508
wide (sd=20),98.72502764400919
tight (sd=3),104.05155274276886
wide (sd=20),85.1875203124627
tight (sd=3),101.77357008126766
wide (sd=20),79.32105667675829
tight (sd=3),100.30157636688571
wide (sd=20),94.07872674964187
tight (sd=3),102.79321598656028
wide (sd=20),71.14100550236847
tight (sd=3),99.2117729543004
wide (sd=20),99.45616693179687
tight (sd=3),99.97699568586201
wide (sd=20),131.22785957282372
tight (sd=3),101.1014590196369
wide (sd=20),80.17843683851598
tight (sd=3),105.12148763541282
wide (sd=20),100.0838797172987
tight (sd=3),102.17122078758514
wide (sd=20),99.10390316418982
tight (sd=3),101.44310814612375
wide (sd=20),86.22692661631092
tight (sd=3),95.29639526732424
wide (sd=20),97.39490702733652
tight (sd=3),100.95475085044248
wide (sd=20),103.10185575306434
tight (sd=3),100.49797435203205
wide (sd=20),125.54683103961474
tight (sd=3),97.30027711111549
wide (sd=20),121.07096424567703
tight (sd=3),100.22911442158173
wide (sd=20),92.56566907447039
tight (sd=3),100.47746583478818
wide (sd=20),97.93734998206669
tight (sd=3),101.63102255412909
wide (sd=20),149.96147212192596
tight (sd=3),102.11442205783914
wide (sd=20),84.45478267975764
tight (sd=3),100.95690742767133
wide (sd=20),115.1476915474832
tight (sd=3),103.32774936691317
wide (sd=20),100.45090070556616
tight (sd=3),102.30746258397134
wide (sd=20),66.99936944150674
tight (sd=3),103.46042102433681
wide (sd=20),82.2176756794175
tight (sd=3),103.78205050804281
wide (sd=20),87.83260556080334
tight (sd=3),102.10187051971697
wide (sd=20),95.73874191472034
tight (sd=3),101.29788148253786
wide (sd=20),129.4242251154614
tight (sd=3),97.23219484522924
wide (sd=20),109.32776948555045
tight (sd=3),98.15324738010725
wide (sd=20),136.36716722788438
tight (sd=3),97.40002093524588
wide (sd=20),138.46792424623993
tight (sd=3),95.08144873845659
wide (sd=20),89.21992871379017
tight (sd=3),96.02248226846977
wide (sd=20),92.2744239782078
tight (sd=3),97.33288981708608
wide (sd=20),82.76384668239288
tight (sd=3),98.32719300909366
wide (sd=20),91.95986833192828
tight (sd=3),99.81279307348495
wide (sd=20),111.97925639226762
tight (sd=3),107.26807893147829
wide (sd=20),101.63674563215537
tight (sd=3),101.0277560504419
wide (sd=20),106.62051511331723
tight (sd=3),100.01274470875639
wide (sd=20),90.77506128172776
tight (sd=3),100.08765952600496
wide (sd=20),107.1807848061807
tight (sd=3),98.81972971263609
wide (sd=20),89.68417641301693
tight (sd=3),97.62188631163322
wide (sd=20),111.74552446932323
tight (sd=3),99.06489440411448
wide (sd=20),132.39222052324084
tight (sd=3),98.96179422465742
wide (sd=20),108.90462458383689
tight (sd=3),99.08617723526403
wide (sd=20),125.10522403120632
tight (sd=3),94.64231953766645
wide (sd=20),88.5018670156
tight (sd=3),101.76182401557391
wide (sd=20),106.32178975615469
tight (sd=3),104.90738330333977
wide (sd=20),56.242588702450995
tight (sd=3),98.06372957909682
wide (sd=20),147.4420263940708
tight (sd=3),101.85697650636202
wide (sd=20),119.53159739601536
tight (sd=3),100.70918079520396
wide (sd=20),112.28903622945624
tight (sd=3),102.53950269625493
wide (sd=20),93.69474691840158
tight (sd=3),98.27906278345093
wide (sd=20),104.62075898975405
tight (sd=3),103.35397961198852
wide (sd=20),141.5096018161205
tight (sd=3),95.37999660420094
wide (sd=20),113.05369796992242
tight (sd=3),98.68562830209974
wide (sd=20),99.25207403768968
tight (sd=3),99.54798108731066
wide (sd=20),85.87216985255554
tight (sd=3),101.55717509581886
wide (sd=20),75.4433659010599
tight (sd=3),101.76261911470567
wide (sd=20),102.68316901195956
tight (sd=3),99.76200081683437
wide (sd=20),92.53533021669676
tight (sd=3),96.47691695539186
wide (sd=20),100.78120750479492
tight (sd=3),100.92616635291512
wide (sd=20),102.86248645675617
tight (sd=3),95.18836437194952
wide (sd=20),102.09894502726792
tight (sd=3),102.97386887515813
wide (sd=20),112.0439148310699
tight (sd=3),103.06966133410111
wide (sd=20),97.63209012820354
tight (sd=3),102.52043631665045
wide (sd=20),111.18339085973383
tight (sd=3),100.36023582386716
wide (sd=20),100.83722756831023
tight (sd=3),98.72123483366288
wide (sd=20),101.2724223216105
tight (sd=3),101.37677873051209
wide (sd=20),129.32407388849523
tight (sd=3),101.93514384308175
wide (sd=20),90.54738263111346
tight (sd=3),101.8345916478706
wide (sd=20),103.26949076803368
tight (sd=3),97.33236611839362
wide (sd=20),106.12700326780208
tight (sd=3),104.63167704607665
wide (sd=20),115.85152436687319
tight (sd=3),96.27470918534488
wide (sd=20),81.01846492579116
tight (sd=3),103.31034202117385
wide (sd=20),118.09573964649024
tight (sd=3),102.94831707002672
wide (sd=20),93.1977918459295
tight (sd=3),100.9129815220996
wide (sd=20),130.62014997387067
tight (sd=3),95.3358453514141
wide (sd=20),107.78806777678545
tight (sd=3),104.70967232920093
wide (sd=20),109.91963960570234
tight (sd=3),102.06534907985224
wide (sd=20),112.89717352884419
tight (sd=3),99.46718902314525
wide (sd=20),99.12470454919885
