grp,trait,bias,composite
A,-0.6264538107423324,0,-0.5051415934585773
A,0.18364332422208224,0,0.7935024035504138
A,-0.8356286124100472,0,-1.0712203619460532
A,1.5952808021377916,0,1.8770654061889402
A,0.3295077718153605,0,0.3218409207759794
A,-0.8204683841180153,0,-0.5656073658319835
A,0.4874290524284853,0,0.4274115118815814
A,0.7383247051292173,0,0.9174085058397677
A,0.5757813516534923,0,1.3066545076285927
A,-0.305388387156356,0,0.13910821569493648
A,1.511781168450848,0,1.3561953065166958
A,0.3898432364114311,0,0.5708458030902838
A,-0.6212405805418038,0,-0.9268810182953909
A,-2.2146998871775,0,-2.212428004858182
A,1.1249309181431082,0,2.0336329749120665
A,-0.04493360901523085,0,0.2526256661430346
A,-0.016190263098946087,0,0.007262480680949405
A,0.9438362106852992,0,0.24007731877473767
A,0.8212211950980886,0,0.9540304629183206
A,0.5939013212175088,0,0.2877102189030112
A,0.9189773716082182,0,0.8315634200608141
A,0.7821363007310671,0,1.1646228977232693
A,0.0745649833651906,0,0.31636799585820724
A,-1.9893516958633728,0,-1.6131838634649485
A,0.6198257478947102,0,0.9186592067753884
A,-0.056128739529000785,0,-0.5162393125681145
A,-0.1557955067053293,0,-0.7501721775624047
A,-1.4707523838992744,0,-1.9556874577108854
A,-0.47815005510862035,0,-0.47490706294353985
A,0.4179415601997024,0,0.30716693459815314
A,1.358679551529044,0,0.9059519210203274
A,-0.10278772734299552,0,-0.7952368790791303
A,0.38767161155936913,0,0.2537750572671174
A,-0.05380504058290512,0,0.08668474216570343
A,-1.3770595568286066,0,-1.7431297428528154
A,-0.41499456329967976,0,-0.4079142451987508
A,-0.3942899537103493,0,-0.1338917126269503
A,-0.05931339671118566,0,-0.022856657234736327
A,1.100025371983883,0,1.2598605542177361
A,0.7631757484575442,0,0.9778478567261423
A,-0.1645235962535869,0,-0.21327850928013917
A,-0.25336168013650756,0,0.07241310829267932
A,0.6969633754047374,0,0.9881548204194471
A,0.5566631986736573,0,0.3918337101640294
A,-0.6887556945495199,0,-0.5746759771618183
A,-0.7074951569621196,0,-0.7161716999473616
A,0.3645819621368303,0,0.9453668834914946
A,0.7685329245154158,0,0.8109793035810423
A,-0.11234621215022805,0,0.055004853798073926
A,0.8811077264542148,0,0.4150677817123786
A,0.39810588036706807,0,0.45359352672896147
A,-0.6120263932507712,0,0.30481184266916467
A,0.3411196914244248,0,0.8649456036875095
A,-1.1293630960807926,0,-0.8708745297096968
A,1.433023701701037,0,1.0248773641551856
A,1.98039989850586,0,0.9311769076997308
A,-0.36722147646650904,0,-0.4125997745846355
A,-1.0441346263165308,0,-1.2585114461914417
A,0.5697196274424129,0,0.3442142912787732
A,-0.13505460388082435,0,-0.3575507358552675
A,2.4016177605047764,0,2.596166309793424
A,-0.039240002733169244,0,-0.04831094201484443
A,0.6897393624507767,0,0.9793970182761199
A,0.028002158780666062,0,-0.638837656113867
A,-0.7432732088824053,0,-0.8954224338965479
A,0.1887922995143429,0,0.5513959966853786
A,-1.8049586288910378,0,-1.9277615616027683
A,1.465554861562886,0,1.9223627567848889
A,0.1532533382118977,0,0.41499819869259524
A,2.1726116703621527,0,2.527850110945667
A,0.4755095288996625,0,0.4143713539780299
A,-0.7099464309218145,0,-0.744058757074713
A,0.6107263534890549,0,0.7225088384125358
A,-0.9340976316442515,0,-0.8219402772492436
A,-1.253633400239102,0,-0.7036453814458926
A,0.29144623551746285,0,-0.028079073475347882
A,-0.443291873218433,0,-0.6031740744300375
A,0.0011053516316241311,0,0.040723225450755164
A,0.07434132415166406,0,0.3843549907477144
A,-0.5895209461880719,0,-0.8684760480561704
A,-0.5686687328185019,0,-0.5243203224830473
A,-0.13517861512383206,0,-0.43163471315028906
A,1.1780869965732044,0,1.897663706905007
A,-1.523566800429762,0,-1.3256019168276385
A,0.5939461876284216,0,0.6126017662022158
A,0.3329503712135183,0,0.7724546208642992
A,1.0630998372763627,0,0.7804760644554931
A,-0.30418392363430063,0,0.36037131054324534
A,0.37001880991628816,0,0.6724355598280738
A,0.26709879077223103,0,0.31845474971775517
A,-0.5425200309916504,0,-0.7477339966347598
A,1.2078678059831722,0,1.2393930723811224
A,1.1604026156949516,0,1.1310168379368941
A,0.7002136495149982,0,0.17591712063115408
A,1.5868334545408456,0,2.2679804349971247
A,0.5584864255653039,0,0.2129476628102569
A,-1.2765922084580366,0,-1.8305941537331485
A,-0.5732654142368863,0,-0.14383178754907242
A,-1.2246126148983558,0,-1.6398652688808755
A,-0.4734006364393116,0,-0.6556716155747919
A,-0.6203666772241242,0,-0.8282237384345605
A,0.04211587314423524,0,0.25221704671397593
A,-0.9109216485524455,0,-0.8867555539319761
A,0.15802877240407498,0,0.04828734716668487
A,-0.6545846439188178,0,-0.640546768619923
A,1.767287269372646,0,1.3982568695274
A,0.7167074760172057,0,0.3231139831750606
A,0.9101742294952272,0,0.6472878894473655
A,0.3841853578263446,0,-2.764599861165377e-4
A,1.6821760805194184,0,1.7143118428242843
A,-0.635736453948977,0,-0.5535294909069158
A,-0.461644730360566,0,-0.09131250524944774
A,1.432282238541663,0,0.9616412739337878
A,-0.6506963533103667,0,-0.9090436444162279
A,-0.20738074360196543,0,0.004716797113355413
A,-0.3928079294419839,0,-0.5390001203629856
A,-0.31999286854850684,0,-0.9435253990245743
A,-0.27911330297655895,0,0.2587559803300053
A,0.494188331267827,0,-0.1228538014417704
A,-0.17733048226960638,0,0.06400518971237407
A,-0.5059574621142574,0,-0.440481373619447
A,1.3430388251704115,0,1.2865601507785633
A,-0.21457940854686872,0,0.012739132930147399
A,-0.17955653004338712,0,-0.15828043758837743
A,-0.10019074121356196,0,-0.049470757418869214
