group,x,y
A,43.73546189257667,128.1643447202393
A,51.83643324222082,139.84700321229067
A,41.64371387589953,147.45201505959807
A,65.95280802137792,134.4794448119452
A,53.29507771815361,149.76341642606394
A,41.795316158819844,137.4316573816181
A,54.87429052428485,156.65663046674425
A,57.38324705129217,142.25639055742212
A,55.757813516534924,149.0464765322234
A,46.94611612843644,140.76207839201592
A,65.11781168450848,145.58400897570698
A,53.89843236411431,157.6131595630895
A,43.78759419458196,148.954906744005
A,27.853001128225003,130.68496469675998
A,61.24930918143108,168.04144879963502
A,49.55066390984769,146.3423682346618
A,49.83809736901054,124.551371393712
A,59.43836210685299,140.67150471463975
A,58.21221195098089,131.87441818200446
A,55.93901321217509,139.07040293246834
A,59.189773716082186,139.90741884617626
A,57.82136300731067,146.76248088357937
A,50.7456498336519,129.6654600842922
A,30.10648304136627,125.98153170194192
A,56.1982574789471,137.10359025613187
A,49.43871260470999,160.75841731623973
A,48.44204493294671,147.35412565856385
A,35.29247616100726,139.15607168274852
A,45.218499448913796,140.78502385304716
A,54.17941560199702,163.52964544783063
A,63.58679551529044,143.24059896484462
A,48.97212272657004,133.63796141692924
A,53.876716115593695,160.2887597549749
A,49.461949594170946,131.76120343561237
A,36.22940443171393,126.49495462214757
A,45.8500543670032,131.96634834029877
A,46.05710046289651,133.00576594773514
A,49.406866032888146,136.1761331905918
A,61.00025371983883,154.73046295108497
A,57.631757484575445,143.9774402004251
B,48.35476403746413,132.6123216846002
B,47.46638319863492,154.08957246095287
B,56.96963375404737,143.0007541006755
B,55.566631986736574,142.2986272288686
B,43.1124430545048,133.2876655490411
B,42.9250484303788,142.8920344289199
B,53.645819621368304,142.03388284757875
B,57.68532924515416,145.69665333851876
B,48.87653787849772,130.92130455773028
B,58.81107726454215,143.1576185446779
B,53.98105880367068,143.90677232815074
B,43.87973606749229,128.03705501887785
B,53.41119691424425,149.10691184298628
B,38.706369039192076,112.74436624991222
B,64.33023701701038,155.1428839430855
B,69.8039989850586,137.40580130559584
B,46.32778523533491,133.4505146662286
B,39.55865373683469,125.30756413612768
B,55.69719627442413,136.73261965136732
B,48.64945396119175,138.2368018347847
B,74.01617760504777,136.24062897587808
B,49.60759997266831,153.8050797223574
B,56.89739362450777,125.53824566506216
B,50.28002158780666,134.6616524525767
B,42.567267911175946,120.6627730684266
B,51.88792299514343,132.50051038179336
B,31.950413711089624,150.60632951641185
B,64.65554861562886,151.9331863288221
B,51.53253338211898,125.79042034048327
B,71.72611670362153,137.69362694987427
B,54.75509528899663,149.2063214464692
B,42.90053569078185,134.09771056004982
B,56.10726353489055,141.06899033338632
B,40.659023683557486,121.37487317740158
B,37.46366599760898,112.12140907638936
B,52.91446235517463,129.42926232475153
B,45.56708126781567,148.4540106588195
B,50.01105351631624,132.5536424754911
B,50.74341324151664,123.98160842459941
B,44.10479053811928,157.7153198995784
