group,y
control,-1.480567594919364
control,1.577169471558629
control,-0.9567444790842685
control,-0.920005247558641
control,-1.9976420969313426
control,-0.27229604424922993
control,-0.31534871146778415
control,-0.6282552365175376
control,-0.10646388487209443
control,0.4280148022023545
control,-0.7777195821474454
control,-1.2938822976136173
control,-0.7795665080594291
control,0.011951758565298396
control,-0.1524162378221677
control,-0.7034642544786424
control,1.1888791562756698
control,0.3405122708491875
control,0.5069681722591659
control,-0.2933051490814109
control,0.2236414153762733
control,2.0072014569454364
control,1.0119791180671451
control,-0.30245924516826544
control,-1.0252448390136608
control,-0.26738482999428187
control,-0.19910566111476233
control,0.13112259542437482
control,0.14579989554370096
control,0.36206472111722926
control,0.6739811638004751
control,2.0720357681505686
control,-0.5410286490614755
control,-1.0704921583121028
control,-0.37245673227827275
control,-0.48514135478827575
control,0.27478417847570896
control,-0.4795125615823004
control,0.7981053261253751
control,-1.0044512023887167
treatment,0.7049842330698379
treatment,-0.5559928901921068
treatment,1.1781346269578556
treatment,-0.9956256561935243
treatment,0.291496343794085
treatment,1.0494659221225984
treatment,-0.3770532826293722
treatment,0.7899978593672452
treatment,1.3314533573001768
treatment,0.10740088924570595
treatment,0.5573150878260049
treatment,0.48732942356610537
treatment,1.0568272477264316
treatment,2.6203348417667693
treatment,-0.4508900624530595
treatment,1.3346521058951875
treatment,1.1392497439515472
treatment,-0.7142727969503645
treatment,0.3499612779421259
treatment,0.9142045964368278
treatment,1.0065466936782717
treatment,1.594420599790523
treatment,1.4557684317577655
treatment,0.79712891685252
treatment,1.434325037545013
treatment,1.4467901524077382
treatment,2.554105254607709
treatment,-1.5492600015670384
treatment,1.571120269710021
treatment,1.7450615732925328
treatment,0.07459937390126903
treatment,0.8503201027741711
treatment,0.17059338863029572
treatment,0.4174803778530349
treatment,0.49668953361531887
treatment,-0.03383820321184017
treatment,-0.6710537872032772
treatment,0.21604960609675783
treatment,1.1167558023631834
treatment,0.4220314561887931
